ProjectID;UserID;uploadServerUnixTime;CompanyID;FileSize;TypeDocs
753919;27549;1582272443;753918;732686;6.Юридические документы
726628;26990;1582216416;726615;2484373;8.Другие документы
705607;26912;1571732077;703124;22;1.Основные документы
705605;26912;1571048621;703124;4;1.Основные документы
705605;26912;1570799210;703124;1030735;1.Основные документы
705605;26912;1570800364;703124;1030735;1.Основные документы
746664;27180;1582701029;746662;53695;8.Другие документы
755110;27557;1582708756;755109;323218;1.Основные документы
755110;27557;1582800981;755109;108641;8.Другие документы
722865;26964;1578568177;722863;1044774;1.Основные документы
705605;26912;1572252074;703124;500000000;5.Финансовые документы
705605;26912;1572251696;703124;5;5.Финансовые документы
705605;26912;1572251714;703124;4;5.Финансовые документы
726780;26996;1574331413;726779;4090592;4.Презентация по проекту
741922;26996;1581053799;741921;364279;6.Юридические документы
741922;26996;1581317109;741921;317967;6.Юридические документы
724044;26979;1575634831;724043;8192;5.Финансовые документы
724044;26979;1575634844;724043;8192;5.Финансовые документы
705607;26955;1575639938;703124;4;2.Технические условия
705607;26955;1575639939;703124;4;2.Технические условия
705607;26955;1575639943;703124;4;2.Технические условия
705607;27031;1581343002;703124;113405;1.Основные документы
726619;26993;1581582470;726615;3159406;8.Другие документы
705605;26912;1570802797;703124;4;1.Основные документы
705607;26912;1572006576;703124;4;6.Юридические документы
705607;26955;1571841020;703124;623226;1.Основные документы
746664;27180;1582701009;746662;1215987;8.Другие документы
721640;26956;1571918103;721639;396892;8.Другие документы
741822;26947;1579607929;721180;131201;8.Другие документы
741822;26947;1579607931;721180;10629524;8.Другие документы
741822;26947;1579607933;721180;17857110;8.Другие документы
721640;26956;1575291387;719936;25157448;1.Основные документы
730175;27024;1575296472;729353;15027997;1.Основные документы
730174;27024;1575302723;729353;1178120;1.Основные документы
730174;27024;1575302803;729353;19946505;1.Основные документы
705605;26912;1570692010;703124;239262494;1.Основные документы
705605;26912;1572251712;703124;4;5.Финансовые документы
705606;26912;1571642414;703124;5;1.Основные документы
705607;26912;1571732448;703124;22;1.Основные документы
705607;26912;1571732494;703124;22;1.Основные документы
727591;27000;1574352850;727590;8704;5.Финансовые документы
727591;27000;1574352939;727590;12800;5.Финансовые документы
727591;27000;1574352946;727590;13312;5.Финансовые документы
727591;27000;1574352966;727590;19968;5.Финансовые документы
705607;27031;1581159684;703124;2378972;1.Основные документы
705605;26912;1572333273;703124;5;1.Основные документы
741922;26996;1581317098;741921;738279;6.Юридические документы
749900;27543;1581406497;749892;492180;1.Основные документы
705607;26955;1574069036;703124;4;2.Технические условия
721181;26947;1571835409;721180;3570444;1.Основные документы
729307;27021;1579780721;729306;1149535;5.Финансовые документы
745433;27170;1579781950;745432;4184104;5.Финансовые документы
705605;26912;1571041250;703124;4;1.Основные документы
705607;26912;1571133679;703124;4;1.Основные документы
741922;26996;1581317101;741921;356344;6.Юридические документы
741922;26996;1581015472;741921;7569429;6.Юридические документы
745433;27170;1579784898;745432;5112312;5.Финансовые документы
745433;27170;1579789419;745432;3893658;5.Финансовые документы
741922;26996;1581317103;741921;334208;6.Юридические документы
705605;26912;1572255094;703124;41439637;5.Финансовые документы
705605;26912;1572250113;703124;14786554;5.Финансовые документы
705607;26912;1572610352;703124;400000000;4.Презентация по проекту
728336;27010;1574264724;728333;1516103;4.Презентация по проекту
705607;26912;1581430572;703124;5;1.Основные документы
705605;26912;1581080878;703124;838860800;1.Основные документы
741922;26996;1581053802;741921;394798;6.Юридические документы
727591;27001;1580205280;727590;16605;6.Юридические документы
727591;27001;1580205282;727590;524341;6.Юридические документы
727591;27001;1580205290;727590;878600;6.Юридические документы
724807;27544;1581519783;721180;1602930;5.Финансовые документы
705607;27031;1581136759;703124;1330829;1.Основные документы
705607;26912;1571732453;703124;22;1.Основные документы
726780;26996;1574321890;726779;139061;3.Материалы для KYC
726780;26996;1574321908;726779;236336;3.Материалы для KYC
705607;26912;1574322288;703124;175;1.Основные документы
721640;26956;1575272796;719936;18036955;8.Другие документы
724044;26979;1575296694;724043;27648;5.Финансовые документы
730174;27024;1575302735;729353;1314646;1.Основные документы
730174;27024;1575302756;729353;638510;1.Основные документы
741922;26996;1581317105;741921;315861;6.Юридические документы
721181;26947;1571835394;721180;12466009;1.Основные документы
705605;26912;1571220615;703124;4;3.Материалы для KYC
746664;27180;1582016074;746662;1501439;2.Технические условия
746664;27180;1582016081;746662;263885;2.Технические условия
705607;26912;1571732434;703124;22;1.Основные документы
741922;26996;1579589627;741921;1284581;5.Финансовые документы
741922;26996;1579589628;741921;3871145;5.Финансовые документы
741922;26996;1579589629;741921;3955981;5.Финансовые документы
746664;27180;1582701010;746662;56149;8.Другие документы
750864;27544;1581083641;721180;176361;5.Финансовые документы
741922;26996;1581053808;741921;21595194;6.Юридические документы
705607;26912;1571903429;703124;14497;3.Материалы для KYC
741922;26996;1581015470;741921;1359761;6.Юридические документы
705605;26912;1571915638;703124;195582;2.Технические условия
721640;26956;1571918093;721639;282475;8.Другие документы
721640;26956;1571918099;721639;630280;8.Другие документы
705607;26912;1571732491;703124;22;1.Основные документы
705607;26912;1572002483;703124;5;6.Юридические документы
705607;26912;1572006475;703124;4;6.Юридические документы
746664;27180;1582016074;746662;2624232;2.Технические условия
705605;26912;1571915596;703124;195582;2.Технические условия
721640;26956;1571918108;721639;136669;8.Другие документы
721640;26956;1571918112;721639;5694;8.Другие документы
749900;27543;1581406181;749892;130386;1.Основные документы
749900;27543;1581406184;749892;2352250;1.Основные документы
749900;27543;1581406581;749892;269531;1.Основные документы
705607;26912;1572002486;703124;4;6.Юридические документы
705605;26912;1572521035;703124;921663;1.Основные документы
705607;26912;1572002493;703124;4;6.Юридические документы
705605;26912;1571991834;703124;119;3.Материалы для KYC
741922;26996;1581317104;741921;342222;6.Юридические документы
724044;26979;1574865277;724043;2255286;8.Другие документы
705607;26912;1572002489;703124;4;6.Юридические документы
705607;26912;1572002496;703124;4;6.Юридические документы
724044;26979;1575296632;724043;324954;5.Финансовые документы
705605;26912;1572250814;703124;6699325;5.Финансовые документы
705607;27031;1581331901;703124;595050;1.Основные документы
705607;27031;1581493441;703124;1150;1.Основные документы
705607;26912;1571135395;703124;2266999;1.Основные документы
705606;26912;1571641900;703124;261159;1.Основные документы
705607;27031;1581159669;703124;2378972;1.Основные документы
741922;26996;1581317112;741921;173569;6.Юридические документы
741922;26996;1581317113;741921;460317;6.Юридические документы
749900;27543;1581406597;749892;313104;1.Основные документы
724044;26979;1575634866;724043;8192;5.Финансовые документы
705607;26912;1571732498;703124;22;1.Основные документы
754225;27554;1582185397;726615;125865;8.Другие документы
705606;26912;1571914307;703124;195582;1.Основные документы
705607;26912;1571732423;703124;22;1.Основные документы
705607;26912;1571733727;703124;22;1.Основные документы
741922;26996;1578642999;741921;53234;1.Основные документы
728336;27010;1574416066;728333;23723623;8.Другие документы
728336;27010;1574416302;728333;46377100;8.Другие документы
728336;27010;1574416764;728333;32543068;8.Другие документы
728336;27010;1574416800;728333;77088984;8.Другие документы
728336;27010;1574416819;728333;21445673;8.Другие документы
741922;26996;1581053797;741921;299978;6.Юридические документы
724807;27544;1581519781;721180;3379129;5.Финансовые документы
724044;26979;1574865217;724043;926718;8.Другие документы
724044;26979;1574867011;724043;51616150;1.Основные документы
705607;27031;1581136470;703124;1330829;1.Основные документы
722864;26986;1573482230;722863;2097314;1.Основные документы
724938;26984;1573482598;724937;116629;2.Технические условия
724938;26984;1573482604;724937;25373652;2.Технические условия
724938;26984;1573482666;724937;5914741;2.Технические условия
724044;26979;1575634823;724043;8192;5.Финансовые документы
705607;26955;1575639838;703124;4;2.Технические условия
705607;26955;1575639842;703124;4;2.Технические условия
705607;26955;1575639947;703124;4;2.Технические условия
733114;27040;1575643933;733113;9270;8.Другие документы
754225;27554;1582638498;726615;9535013;8.Другие документы
726619;26993;1581079037;726615;3486780;8.Другие документы
729307;27021;1582643152;729306;7937398;5.Финансовые документы
726623;26992;1582203463;726615;5943973;8.Другие документы
726623;26992;1582203470;726615;5349551;8.Другие документы
726628;26990;1582216414;726615;1588688;8.Другие документы
753919;27549;1582272447;753918;3255990;6.Юридические документы
